Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,League Name,Year
11 - 7,147,Harrison Butker,K,Peter Pan + the Lost Boys ,142.22,8.37,152.0,8.94,17,74.3,C,THE BEST OF THE BEST,2023
6 - 3,73,Tyler Lockett,WR,Crazy Kat,0.0,0.0,162.9,9.58,17,74.23,C,THE BEST OF THE BEST,2023
11 - 8,148,Devin Singletary,RB,Off Script ,0.0,0.0,152.34,8.96,17,74.16,C,THE BEST OF THE BEST,2023
8 - 9,107,Courtland Sutton,WR,Team Rodriguez,0.0,0.0,160.7,10.04,16,74.07,C,THE BEST OF THE BEST,2023
2 - 12,26,Garrett Wilson,WR,Wu-Tangs Killabeez,208.99,13.93,165.7,9.75,17,74.0,C,THE BEST OF THE BEST,2023
6 - 4,74,Javonte Williams,RB,Team Sunshine,0.0,0.0,155.7,9.73,16,73.97,C,THE BEST OF THE BEST,2023
11 - 11,151,Ezekiel Elliott,RB,Team Sunshine,115.85,8.27,149.0,8.76,17,73.29,C,THE BEST OF THE BEST,2023
12 - 2,156,Cole Kmet,TE,The Upside Down,0.0,0.0,144.6,8.51,17,72.84,C-,THE BEST OF THE BEST,2023
2 - 2,16,Joe Burrow,QB,The Upside Down,0.0,0.0,147.16,14.72,10,72.74,C-,THE BEST OF THE BEST,2023
11 - 10,150,Greg Zuerlein,K,Dirty Tone and  The Boys,135.04,7.94,140.0,8.75,16,72.18,C-,THE BEST OF THE BEST,2023
12 - 14,168,Jason Myers,K,The  Dream crusher,138.22,8.13,151.0,8.88,17,72.12,C-,THE BEST OF THE BEST,2023
9 - 5,117,Dolphins D/ST,D/ST,Taco Tuesday Everyday,0.0,0.0,139.0,8.18,17,72.09,C-,THE BEST OF THE BEST,2023
12 - 9,163,Matt Gay,K,Team Rodriguez,130.42,7.67,149.0,8.76,17,71.89,C-,THE BEST OF THE BEST,2023
1 - 9,9,Cooper Kupp,WR,Toon Squad,0.0,0.0,134.9,11.24,12,71.86,C-,THE BEST OF THE BEST,2023
11 - 12,152,Brandon McManus,K,Crazy Kat,137.74,8.1,139.0,8.18,17,71.17,C-,THE BEST OF THE BEST,2023
6 - 14,84,Brandin Cooks,WR,The  Dream crusher,0.0,0.0,146.2,9.14,16,71.05,C-,THE BEST OF THE BEST,2023
14 - 6,188,Cameron Dicker,K,Toon Squad,141.1,8.3,149.0,8.76,17,70.62,C-,THE BEST OF THE BEST,2023
12 - 5,159,Chiefs D/ST,D/ST,Dirty Tone and  The Boys,0.0,0.0,140.0,8.24,17,70.56,C-,THE BEST OF THE BEST,2023
4 - 11,53,Mark Andrews,TE,Maid of Honor,0.0,0.0,112.9,11.29,10,70.46,C-,THE BEST OF THE BEST,2023
4 - 7,49,Rhamondre Stevenson,RB,Off Script ,0.0,0.0,126.7,10.56,12,70.45,C-,THE BEST OF THE BEST,2023
9 - 14,126,Evan McPherson,K,Rollin' with Mahomies,0.0,0.0,135.0,7.94,17,70.33,C-,THE BEST OF THE BEST,2023
10 - 3,129,Saints D/ST,D/ST,Crazy Kat,0.0,0.0,129.0,7.59,17,70.2,C-,THE BEST OF THE BEST,2023
6 - 8,78,Drake London,WR,Peter Pan + the Lost Boys ,0.0,0.0,139.88,8.74,16,70.03,C-,THE BEST OF THE BEST,2023
4 - 10,52,Anthony Richardson,QB,Taco Tuesday Everyday,0.0,0.0,72.68,18.17,4,69.8,D+,THE BEST OF THE BEST,2023
8 - 8,106,Bryce Young,QB,Peter Pan + the Lost Boys ,0.0,0.0,156.38,9.77,16,69.75,D+,THE BEST OF THE BEST,2023
7 - 6,90,49ers D/ST,D/ST,Team Rodriguez,0.0,0.0,136.0,8.0,17,69.42,D+,THE BEST OF THE BEST,2023
3 - 13,41,Aaron Jones,RB,The Upside Down,0.0,0.0,119.9,10.9,11,69.31,D+,THE BEST OF THE BEST,2023
14 - 4,186,Jason Sanders,K,Team Sunshine,133.72,7.87,142.0,8.35,17,69.14,D+,THE BEST OF THE BEST,2023
11 - 5,145,Tyler Bass,K,Taco Tuesday Everyday,138.81,8.17,128.0,7.53,17,68.91,D+,THE BEST OF THE BEST,2023
5 - 5,61,Diontae Johnson,WR,Taco Tuesday Everyday,0.0,0.0,127.2,9.09,14,68.85,D+,THE BEST OF THE BEST,2023
12 - 13,167,Gabe Davis,WR,the   jadey bunch,0.0,0.0,138.9,8.17,17,68.71,D+,THE BEST OF THE BEST,2023
11 - 9,149,Tyler Allgeier,RB,Toon Squad,0.0,0.0,128.6,7.56,17,68.71,D+,THE BEST OF THE BEST,2023
12 - 7,161,Younghoe Koo,K,Off Script ,134.42,7.91,133.0,7.82,17,68.37,D+,THE BEST OF THE BEST,2023
7 - 4,88,Christian Kirk,WR,Maid of Honor,0.0,0.0,121.76,10.15,12,68.29,D+,THE BEST OF THE BEST,2023
8 - 13,111,Steelers D/ST,D/ST,the   jadey bunch,0.0,0.0,127.0,7.47,17,67.59,D+,THE BEST OF THE BEST,2023
3 - 8,36,Tee Higgins,WR,Off Script ,0.0,0.0,116.6,9.72,12,67.44,D+,THE BEST OF THE BEST,2023
14 - 1,183,Dalton Schultz,TE,Rollin' with Mahomies,0.0,0.0,121.0,8.07,15,67.02,D+,THE BEST OF THE BEST,2023
9 - 2,114,Kyle Pitts,TE,the   jadey bunch,0.0,0.0,110.8,6.52,17,66.59,D,THE BEST OF THE BEST,2023
5 - 4,60,Alexander Mattison,RB,Maid of Honor,0.0,0.0,118.2,7.39,16,66.52,D,THE BEST OF THE BEST,2023
11 - 3,143,Daniel Carlson,K,Wu-Tangs Killabeez,140.55,8.27,117.0,6.88,17,66.34,D,THE BEST OF THE BEST,2023
9 - 4,116,Jaxon Smith-Njigba,WR,Maid of Honor,0.0,0.0,118.3,6.96,17,66.27,D,THE BEST OF THE BEST,2023
10 - 5,131,Mac Jones,QB,Dirty Tone and  The Boys,0.0,0.0,106.4,9.67,11,66.18,D,THE BEST OF THE BEST,2023
2 - 10,24,Deshaun Watson,QB,Taco Tuesday Everyday,0.0,0.0,86.8,14.47,6,65.44,D,THE BEST OF THE BEST,2023
14 - 8,190,Colts D/ST,D/ST,Peter Pan + the Lost Boys ,0.0,0.0,123.0,7.24,17,64.98,D,THE BEST OF THE BEST,2023
14 - 14,196,Curtis Samuel,WR,The  Dream crusher,0.0,0.0,126.2,7.89,16,64.85,D,THE BEST OF THE BEST,2023
7 - 13,97,Dallas Goedert,TE,The Upside Down,0.0,0.0,106.8,7.63,14,64.82,D,THE BEST OF THE BEST,2023
9 - 12,124,AJ Dillon,RB,Crazy Kat,0.0,0.0,106.6,7.11,15,64.63,D,THE BEST OF THE BEST,2023
6 - 10,80,Marquise Brown,WR,Taco Tuesday Everyday,0.0,0.0,109.2,7.8,14,64.32,D,THE BEST OF THE BEST,2023
9 - 11,123,Tyler Boyd,WR,Team Sunshine,120.77,8.05,111.3,6.55,17,64.3,D,THE BEST OF THE BEST,2023
14 - 9,191,Dalton Kincaid,TE,Team Rodriguez,0.0,0.0,113.8,7.11,16,64.12,D,THE BEST OF THE BEST,2023
7 - 5,89,Khalil Herbert,RB,Taco Tuesday Everyday,0.0,0.0,102.5,8.54,12,63.96,D,THE BEST OF THE BEST,2023
7 - 10,94,Jerry Jeudy,WR,Dirty Tone and  The Boys,0.0,0.0,114.8,7.17,16,63.91,D,THE BEST OF THE BEST,2023
12 - 6,160,Patriots D/ST,D/ST,Toon Squad,0.0,0.0,111.0,6.53,17,63.58,D,THE BEST OF THE BEST,2023
6 - 7,77,Kenny Pickett,QB,Off Script ,0.0,0.0,110.2,9.18,12,63.37,D,THE BEST OF THE BEST,2023
13 - 11,179,Broncos D/ST,D/ST,Team Sunshine,0.0,0.0,98.0,5.76,17,63.3,D,THE BEST OF THE BEST,2023
5 - 13,69,Antonio Gibson,RB,The Upside Down,0.0,0.0,103.4,6.46,16,62.82,D-,THE BEST OF THE BEST,2023
5 - 1,57,Darren Waller,TE,The  Dream crusher,0.0,0.0,87.2,7.27,12,62.47,D-,THE BEST OF THE BEST,2023
5 - 12,68,Christian Watson,WR,Crazy Kat,0.0,0.0,87.3,8.73,10,61.93,D-,THE BEST OF THE BEST,2023
11 - 13,153,Elijah Moore,WR,The Upside Down,117.66,7.84,102.6,6.04,17,61.62,D-,THE BEST OF THE BEST,2023
13 - 9,177,Tyler Higbee,TE,Toon Squad,0.0,0.0,85.0,5.67,15,61.48,D-,THE BEST OF THE BEST,2023
10 - 14,140,Samaje Perine,RB,The  Dream crusher,0.0,0.0,96.3,5.66,17,60.99,D-,THE BEST OF THE BEST,2023
8 - 7,105,Jahan Dotson,WR,Off Script ,143.17,9.54,100.3,5.9,17,60.71,D-,THE BEST OF THE BEST,2023
4 - 14,56,Mike Williams,WR,The  Dream crusher,0.0,0.0,40.7,13.57,3,60.69,D-,THE BEST OF THE BEST,2023
10 - 12,138,Odell Beckham Jr.,WR,Wu-Tangs Killabeez,125.19,9.63,90.0,6.43,14,60.5,D-,THE BEST OF THE BEST,2023
12 - 11,165,DJ Chark Jr.,WR,Maid of Honor,117.15,9.01,98.0,6.53,15,59.9,F-,THE BEST OF THE BEST,2023
13 - 8,176,Kenneth Gainwell,RB,Off Script ,0.0,0.0,82.38,5.15,16,58.8,F-,THE BEST OF THE BEST,2023
13 - 4,172,Panthers D/ST,D/ST,Maid of Honor,0.0,0.0,81.0,4.76,17,58.48,F-,THE BEST OF THE BEST,2023
9 - 10,122,Michael Thomas,WR,Dirty Tone and  The Boys,128.5,9.88,70.3,7.03,10,57.71,F-,THE BEST OF THE BEST,2023
14 - 3,185,K.J. Osborn,WR,Crazy Kat,0.0,0.0,96.0,6.0,16,57.64,F-,THE BEST OF THE BEST,2023
13 - 14,182,Zay Jones,WR,Rollin' with Mahomies,0.0,0.0,61.1,6.79,9,57.53,F-,THE BEST OF THE BEST,2023
11 - 1,141,Rondale Moore,WR,The  Dream crusher,0.0,0.0,85.0,5.0,17,57.53,F-,THE BEST OF THE BEST,2023
12 - 12,166,Zach Charbonnet,RB,Wu-Tangs Killabeez,0.0,0.0,89.6,5.6,16,57.51,F-,THE BEST OF THE BEST,2023
8 - 3,101,Ryan Tannehill,QB,Crazy Kat,211.38,15.1,80.04,8.0,10,57.5,F-,THE BEST OF THE BEST,2023
9 - 6,118,Eagles D/ST,D/ST,Team Rodriguez,0.0,0.0,80.0,4.71,17,57.48,F-,THE BEST OF THE BEST,2023
3 - 12,40,Dameon Pierce,RB,Crazy Kat,0.0,0.0,76.2,5.44,14,57.24,F-,THE BEST OF THE BEST,2023
6 - 2,72,Jimmy Garoppolo,QB,The Upside Down,0.0,0.0,64.1,9.16,7,57.11,F-,THE BEST OF THE BEST,2023
9 - 13,125,Jerick McKinnon,RB,The Upside Down,117.43,8.39,71.86,5.99,12,56.53,F-,THE BEST OF THE BEST,2023
14 - 13,195,Gerald Everett,TE,the   jadey bunch,0.0,0.0,85.6,5.71,15,56.44,F-,THE BEST OF THE BEST,2023
10 - 1,127,Rams D/ST,D/ST,Rollin' with Mahomies,0.0,0.0,75.0,4.41,17,56.24,F-,THE BEST OF THE BEST,2023
14 - 10,192,Chigoziem Okonkwo,TE,Taco Tuesday Everyday,0.0,0.0,86.4,5.08,17,56.06,F-,THE BEST OF THE BEST,2023
5 - 10,66,Miles Sanders,RB,Dirty Tone and  The Boys,0.0,0.0,74.1,4.63,16,55.97,F-,THE BEST OF THE BEST,2023
4 - 13,55,Daniel Jones,QB,the   jadey bunch,0.0,0.0,56.96,9.49,6,55.97,F-,THE BEST OF THE BEST,2023
10 - 9,135,Quentin Johnston,WR,Team Rodriguez,0.0,0.0,75.0,4.41,17,54.97,F-,THE BEST OF THE BEST,2023
10 - 6,132,Michael Gallup,WR,Toon Squad,131.55,8.77,70.8,4.16,17,53.91,F-,THE BEST OF THE BEST,2023
1 - 11,11,Nick Chubb,RB,Team Sunshine,0.0,0.0,21.1,10.55,2,53.44,F-,THE BEST OF THE BEST,2023
13 - 7,175,Clyde Edwards-Helaire,RB,Peter Pan + the Lost Boys ,75.67,5.41,61.6,4.11,15,52.26,F-,THE BEST OF THE BEST,2023
12 - 3,157,Pat Freiermuth,TE,Crazy Kat,119.01,7.93,60.8,5.07,12,51.97,F-,THE BEST OF THE BEST,2023
11 - 2,142,Darnell Mooney,WR,the   jadey bunch,0.0,0.0,63.4,4.23,15,51.71,F-,THE BEST OF THE BEST,2023
6 - 9,79,J.K. Dobbins,RB,Team Rodriguez,170.05,13.08,10.7,10.7,1,51.59,F-,THE BEST OF THE BEST,2023
4 - 1,43,Jalin Hyatt,WR,Rollin' with Mahomies,42.07,2.8,48.8,2.87,17,50.01,F-,THE BEST OF THE BEST,2023
11 - 4,144,Graham Gano,K,Maid of Honor,140.24,8.25,44.0,5.5,8,49.48,F-,THE BEST OF THE BEST,2023
6 - 12,82,Cam Akers,RB,Wu-Tangs Killabeez,179.5,12.82,41.2,5.89,7,49.12,F-,THE BEST OF THE BEST,2023
7 - 9,93,Jamaal Williams,RB,Toon Squad,0.0,0.0,51.8,3.98,13,48.76,F-,THE BEST OF THE BEST,2023
10 - 8,134,JuJu Smith-Schuster,WR,Peter Pan + the Lost Boys ,0.0,0.0,46.5,4.23,11,47.82,F-,THE BEST OF THE BEST,2023
7 - 11,95,Allen Lazard,WR,Team Sunshine,0.0,0.0,48.6,3.47,14,47.18,F-,THE BEST OF THE BEST,2023
10 - 11,137,Elijah Mitchell,RB,Maid of Honor,0.0,0.0,44.5,4.05,11,47.06,F-,THE BEST OF THE BEST,2023
8 - 10,108,Skyy Moore,WR,Taco Tuesday Everyday,0.0,0.0,43.2,3.09,14,45.22,F-,THE BEST OF THE BEST,2023
14 - 5,187,Zach Ertz,TE,Dirty Tone and  The Boys,0.0,0.0,38.2,5.46,7,44.64,F-,THE BEST OF THE BEST,2023
13 - 6,174,Jeff Wilson Jr.,RB,Team Rodriguez,0.0,0.0,34.3,3.43,10,43.13,F-,THE BEST OF THE BEST,2023
8 - 1,99,Dalvin Cook,RB,Rollin' with Mahomies,141.02,10.07,32.7,2.18,15,42.43,F-,THE BEST OF THE BEST,2023
14 - 2,184,Marquez Valdes-Scantling,WR,The Upside Down,114.49,7.63,46.0,2.88,16,42.07,F-,THE BEST OF THE BEST,2023
9 - 7,119,Treylon Burks,WR,Peter Pan + the Lost Boys ,0.0,0.0,31.9,2.9,11,41.78,F-,THE BEST OF THE BEST,2023
12 - 10,164,Hunter Renfrow,WR,Taco Tuesday Everyday,110.23,7.35,36.0,2.12,17,39.93,F-,THE BEST OF THE BEST,2023
13 - 10,178,Cordarrelle Patterson,RB,Dirty Tone and  The Boys,89.42,6.88,32.4,2.31,14,39.92,F-,THE BEST OF THE BEST,2023
13 - 5,173,Tank Bigsby,RB,Taco Tuesday Everyday,0.0,0.0,22.3,1.31,17,35.36,F-,THE BEST OF THE BEST,2023
13 - 13,181,Mecole Hardman,WR,The Upside Down,95.43,6.36,18.2,1.65,11,31.53,F-,THE BEST OF THE BEST,2023
11 - 6,146,Rashaad Penny,RB,Team Rodriguez,123.76,9.52,4.3,1.43,3,22.28,F-,THE BEST OF THE BEST,2023
5 - 3,59,Aaron Rodgers,QB,Wu-Tangs Killabeez,0.0,0.0,0.0,0.0,1,21.82,F-,THE BEST OF THE BEST,2023
13 - 12,180,Evan Hull,RB,Crazy Kat,0.0,0.0,1.2,1.2,1,13.77,F-,THE BEST OF THE BEST,2023
13 - 3,171,Deon Jackson,RB,Wu-Tangs Killabeez,0.0,0.0,1.5,0.38,4,10.0,F-,THE BEST OF THE BEST,2023
13 - 11,179,Bucky Irving,RB,Taco Tuesday Everyday,98.81,7.06,220.9,12.99,17,100.0,A+,THE BEST OF THE BEST,2024
2 - 5,19,Jahmyr Gibbs,RB,Toon Squad,213.22,15.23,336.9,19.82,17,100.0,A+,THE BEST OF THE BEST,2024
2 - 3,17,Ja'Marr Chase,WR,Team Rodriguez,237.02,16.93,339.5,19.97,17,100.0,A+,THE BEST OF THE BEST,2024
1 - 12,12,Saquon Barkley,RB,Team Rodriguez,229.38,16.38,338.8,21.18,16,100.0,A+,THE BEST OF THE BEST,2024
2 - 7,21,Derrick Henry,RB,It HURTS being an Eagles fan ,213.25,15.23,326.9,19.23,17,100.0,A+,THE BEST OF THE BEST,2024
2 - 4,18,Lamar Jackson,QB,Taco Tuesday Everyday,303.83,20.26,430.38,25.32,17,100.0,A+,THE BEST OF THE BEST,2024
6 - 3,73,Baker Mayfield,QB,Team Rodriguez,245.41,16.36,365.8,21.52,17,99.51,A+,THE BEST OF THE BEST,2024
11 - 3,143,Chuba Hubbard,RB,Wu-Tangs Killabeez,121.25,8.66,220.1,14.67,15,99.5,A+,THE BEST OF THE BEST,2024
8 - 9,107,Brian Thomas Jr.,WR,sports,140.93,9.4,240.5,14.15,17,99.14,A+,THE BEST OF THE BEST,2024
14 - 8,190,Sam Darnold,QB,Peter Pan + the Lost Boys ,192.49,14.81,307.96,18.12,17,99.13,A+,THE BEST OF THE BEST,2024
10 - 5,131,Bo Nix,QB,Toon Squad,192.76,13.77,316.7,18.63,17,98.7,A+,THE BEST OF THE BEST,2024
8 - 11,109,Brock Bowers,TE,Dirty Tone and  The Boys,115.72,7.71,206.7,12.16,17,98.57,A+,THE BEST OF THE BEST,2024
3 - 1,29,Joe Burrow,QB,the   jadey bunch,278.72,18.58,372.82,21.93,17,96.5,A,THE BEST OF THE BEST,2024
4 - 4,46,Jayden Daniels,QB,Taco Tuesday Everyday,255.91,17.06,355.82,20.93,17,96.28,A,THE BEST OF THE BEST,2024
1 - 7,7,Bijan Robinson,RB,Peter Pan + the Lost Boys ,260.66,18.62,311.2,18.31,17,95.96,A,THE BEST OF THE BEST,2024
3 - 11,39,Josh Jacobs,RB,Taco Tuesday Everyday,195.88,13.99,275.1,16.18,17,95.56,A,THE BEST OF THE BEST,2024
9 - 5,117,Chase Brown,RB,Terrell Suggs to be you,146.27,10.45,228.0,14.25,16,95.49,A,THE BEST OF THE BEST,2024
1 - 2,2,Josh Allen,QB,Crazy Kat,313.58,20.91,379.04,22.3,17,94.33,A,THE BEST OF THE BEST,2024
5 - 5,61,Jared Goff,QB,Terrell Suggs to be you,234.9,15.66,323.96,19.06,17,93.75,A,THE BEST OF THE BEST,2024
7 - 8,92,Terry McLaurin,WR,It HURTS being an Eagles fan ,156.18,10.41,226.8,13.34,17,93.61,A,THE BEST OF THE BEST,2024
3 - 6,34,De'Von Achane,RB,sports,187.8,13.41,260.9,15.35,17,93.45,A,THE BEST OF THE BEST,2024
13 - 7,175,Packers D/ST,D/ST,Peter Pan + the Lost Boys ,93.38,5.49,140.0,8.24,17,93.13,A,THE BEST OF THE BEST,2024
7 - 7,91,George Kittle,TE,Peter Pan + the Lost Boys ,143.99,9.6,197.6,13.17,15,92.22,A-,THE BEST OF THE BEST,2024
5 - 13,69,James Conner,RB,The Upside Down,161.2,12.4,230.3,14.39,16,91.56,A-,THE BEST OF THE BEST,2024
1 - 11,11,Justin Jefferson,WR,Taco Tuesday Everyday,229.12,15.27,265.98,15.65,17,91.34,A-,THE BEST OF THE BEST,2024
3 - 10,38,James Cook,RB,Toon Squad,197.29,14.09,250.7,15.67,16,91.28,A-,THE BEST OF THE BEST,2024
11 - 11,151,Brandon Aubrey,K,Taco Tuesday Everyday,142.08,8.36,185.0,10.88,17,90.93,A-,THE BEST OF THE BEST,2024
6 - 12,82,Trey McBride,TE,Wu-Tangs Killabeez,140.95,9.4,194.3,12.14,16,90.9,A-,THE BEST OF THE BEST,2024
11 - 14,154,Jerry Jeudy,WR,The  Dream crusher,145.98,9.73,195.9,11.52,17,90.76,A-,THE BEST OF THE BEST,2024
13 - 8,176,Cameron Dicker,K,It HURTS being an Eagles fan ,138.3,8.14,176.0,10.35,17,90.33,A-,THE BEST OF THE BEST,2024
13 - 6,174,Bills D/ST,D/ST,sports,79.74,4.69,121.0,7.12,17,90.17,A-,THE BEST OF THE BEST,2024
2 - 10,24,Kyren Williams,RB,Terrell Suggs to be you,215.59,15.4,255.1,15.94,16,90.06,A-,THE BEST OF THE BEST,2024
11 - 2,142,Jameson Williams,WR,Crazy Kat,134.77,8.98,183.2,12.21,15,89.84,B+,THE BEST OF THE BEST,2024
7 - 14,98,Ladd McConkey,WR,The  Dream crusher,146.12,9.74,199.9,12.49,16,89.75,B+,THE BEST OF THE BEST,2024
4 - 8,50,Drake London,WR,Peter Pan + the Lost Boys ,183.91,12.26,230.8,13.58,17,89.71,B+,THE BEST OF THE BEST,2024
1 - 5,5,Amon-Ra St. Brown,WR,Terrell Suggs to be you,229.2,15.28,258.68,15.22,17,89.7,B+,THE BEST OF THE BEST,2024
14 - 3,185,Tank Bigsby,RB,Team Rodriguez,67.93,4.85,125.5,7.84,16,89.29,B+,THE BEST OF THE BEST,2024
8 - 2,100,Jaxon Smith-Njigba,WR,The Upside Down,153.71,10.25,203.0,11.94,17,89.11,B+,THE BEST OF THE BEST,2024
4 - 9,51,Malik Nabers,WR,sports,181.4,12.09,219.1,14.61,15,88.57,B+,THE BEST OF THE BEST,2024
14 - 9,191,Jason Sanders,K,sports,132.08,7.77,162.0,9.53,17,88.37,B+,THE BEST OF THE BEST,2024
7 - 12,96,Courtland Sutton,WR,Team Rodriguez,153.97,10.26,199.8,11.75,17,88.2,B+,THE BEST OF THE BEST,2024
6 - 4,74,Aaron Jones,RB,Taco Tuesday Everyday,168.32,12.02,216.1,12.71,17,88.08,B+,THE BEST OF THE BEST,2024
2 - 11,25,Alvin Kamara,RB,Dirty Tone and  The Boys,197.18,14.08,231.3,16.52,14,88.04,B+,THE BEST OF THE BEST,2024
7 - 3,87,Justin Herbert,QB,Wu-Tangs Killabeez,252.01,16.8,285.4,16.79,17,87.71,B+,THE BEST OF THE BEST,2024
6 - 11,81,David Montgomery,RB,Dirty Tone and  The Boys,166.48,11.89,203.72,14.55,14,87.48,B+,THE BEST OF THE BEST,2024
4 - 12,54,Joe Mixon,RB,Wu-Tangs Killabeez,197.32,14.09,222.5,15.89,14,87.43,B+,THE BEST OF THE BEST,2024
12 - 3,157,Ka'imi Fairbairn,K,Team Rodriguez,140.45,8.26,166.0,9.76,17,86.79,B,THE BEST OF THE BEST,2024
14 - 12,194,Jake Bates,K,Wu-Tangs Killabeez,137.91,8.11,158.0,9.29,17,86.74,B,THE BEST OF THE BEST,2024
1 - 8,8,Jalen Hurts,QB,It HURTS being an Eagles fan ,314.32,20.95,315.12,21.01,15,86.63,B,THE BEST OF THE BEST,2024
3 - 7,35,Kyler Murray,QB,Peter Pan + the Lost Boys ,264.09,17.61,297.24,17.48,17,86.54,B,THE BEST OF THE BEST,2024
9 - 14,126,Jakobi Meyers,WR,The  Dream crusher,138.81,9.25,174.5,11.63,15,86.45,B,THE BEST OF THE BEST,2024
10 - 6,132,J.K. Dobbins,RB,Maid of Honor,140.27,10.79,175.8,13.52,13,86.44,B,THE BEST OF THE BEST,2024
9 - 10,122,Rico Dowdle,RB,Toon Squad,134.61,9.61,178.3,11.14,16,86.19,B,THE BEST OF THE BEST,2024
7 - 4,88,Geno Smith,QB,Dirty Tone and  The Boys,227.03,16.22,266.0,15.65,17,85.89,B,THE BEST OF THE BEST,2024
9 - 7,119,Jordan Addison,WR,Peter Pan + the Lost Boys ,153.41,10.23,181.0,12.07,15,85.88,B,THE BEST OF THE BEST,2024
11 - 8,148,Zach Charbonnet,RB,It HURTS being an Eagles fan ,122.21,8.73,165.9,9.76,17,85.74,B,THE BEST OF THE BEST,2024
2 - 1,15,Jonathan Taylor,RB,The  Dream crusher,236.16,16.87,235.7,16.84,14,85.59,B,THE BEST OF THE BEST,2024
11 - 10,150,Steelers D/ST,D/ST,Toon Squad,125.2,7.36,135.0,7.94,17,85.05,B,THE BEST OF THE BEST,2024
6 - 1,71,Tee Higgins,WR,The  Dream crusher,169.24,12.09,185.6,15.47,12,84.71,B,THE BEST OF THE BEST,2024
9 - 12,124,Tony Pollard,RB,Team Rodriguez,153.77,10.98,180.2,11.26,16,84.33,B,THE BEST OF THE BEST,2024
13 - 2,170,Pat Freiermuth,TE,Crazy Kat,109.8,7.32,135.8,7.99,17,83.67,B,THE BEST OF THE BEST,2024
8 - 4,102,Najee Harris,RB,Taco Tuesday Everyday,161.02,11.5,186.6,10.98,17,83.65,B,THE BEST OF THE BEST,2024
5 - 12,68,D'Andre Swift,RB,Team Rodriguez,163.33,11.67,193.5,11.38,17,83.41,B,THE BEST OF THE BEST,2024
2 - 13,27,Mike Evans,WR,Crazy Kat,196.8,13.12,203.4,14.53,14,83.26,B,THE BEST OF THE BEST,2024
14 - 11,193,Jordan Mason,RB,Dirty Tone and  The Boys,76.89,5.91,109.5,9.12,12,83.12,B,THE BEST OF THE BEST,2024
3 - 4,32,Davante Adams,WR,Dirty Tone and  The Boys,189.43,12.63,198.8,14.2,14,83.07,B,THE BEST OF THE BEST,2024
14 - 13,195,Ray Davis,RB,Crazy Kat,68.65,4.9,107.6,6.33,17,82.96,B-,THE BEST OF THE BEST,2024
3 - 5,33,Brock Purdy,QB,Terrell Suggs to be you,259.3,17.29,266.86,17.79,15,82.95,B-,THE BEST OF THE BEST,2024
12 - 4,158,Khalil Shakir,WR,Taco Tuesday Everyday,123.5,8.23,144.5,9.63,15,82.3,B-,THE BEST OF THE BEST,2024
8 - 8,106,Jayden Reed,WR,Peter Pan + the Lost Boys ,149.29,9.95,169.5,9.97,17,82.14,B-,THE BEST OF THE BEST,2024
10 - 3,129,Darnell Mooney,WR,Team Rodriguez,146.21,9.75,161.2,10.07,16,81.87,B-,THE BEST OF THE BEST,2024
6 - 7,77,Aaron Rodgers,QB,It HURTS being an Eagles fan ,265.24,17.68,256.58,15.09,17,81.85,B-,THE BEST OF THE BEST,2024
1 - 9,9,Patrick Mahomes,QB,Maid of Honor,307.68,20.51,282.52,17.66,16,81.24,B-,THE BEST OF THE BEST,2024
4 - 13,55,Caleb Williams,QB,Crazy Kat,252.19,16.81,254.54,14.97,17,81.23,B-,THE BEST OF THE BEST,2024
5 - 3,59,DJ Moore,WR,Wu-Tangs Killabeez,184.91,12.33,189.1,11.12,17,81.05,B-,THE BEST OF THE BEST,2024
2 - 6,20,Garrett Wilson,WR,Maid of Honor,211.34,14.09,201.4,11.85,17,79.93,C+,THE BEST OF THE BEST,2024
3 - 13,41,Jordan Love,QB,The Upside Down,206.72,17.23,233.86,15.59,15,79.7,C+,THE BEST OF THE BEST,2024
4 - 14,56,Mark Andrews,TE,the   jadey bunch,153.14,10.21,161.3,9.49,17,79.59,C+,THE BEST OF THE BEST,2024
3 - 12,40,Nico Collins,WR,Team Rodriguez,190.63,12.71,176.6,14.72,12,79.54,C+,THE BEST OF THE BEST,2024
12 - 8,162,Matt Gay,K,Peter Pan + the Lost Boys ,126.78,8.45,133.0,8.31,16,79.52,C+,THE BEST OF THE BEST,2024
13 - 14,182,Joshua Karty,K,The  Dream crusher,132.39,7.79,130.0,7.65,17,79.49,C+,THE BEST OF THE BEST,2024
1 - 3,3,CeeDee Lamb,WR,Wu-Tangs Killabeez,260.3,17.35,212.9,14.19,15,79.49,C+,THE BEST OF THE BEST,2024
8 - 5,103,Xavier Worthy,WR,Toon Squad,148.04,9.87,157.7,9.28,17,79.22,C+,THE BEST OF THE BEST,2024
1 - 6,6,Breece Hall,RB,sports,255.52,18.25,212.4,13.28,16,78.26,C+,THE BEST OF THE BEST,2024
5 - 8,64,Zay Flowers,WR,It HURTS being an Eagles fan ,177.24,11.82,172.5,10.15,17,78.1,C+,THE BEST OF THE BEST,2024
14 - 6,188,Lions D/ST,D/ST,Maid of Honor,106.71,6.28,100.0,5.88,17,78.04,C+,THE BEST OF THE BEST,2024
